# id X Y type ready_time pair_id
1 4.06 10.47 D 101 0
2 9.1 17.47 D 17 0
3 19.19 10.34 D 119 0
4 14.61 11.45 DL 0 2
5 4.87 10.12 D 153 0
6 16.35 16.26 D 118 0
7 14.36 16.96 D 117 0
8 17.29 19.63 D 199 0
9 19.7 1.04 P 0 4
10 13.71 5.32 P 0 5
11 0.61 13.44 D 137 0
12 14.54 9.47 DL 0 8
13 18.87 13.71 P 0 7
14 16.71 5.96 D 48 0
15 7.29 15.52 D 47 0
16 7.97 13.1 D 16 0
17 0.83 6.69 D 194 0
18 17.24 4.72 DL 0 4
19 1.53 18.67 DL 0 1
20 17.24 0.19 D 123 0
21 18.69 9.69 D 175 0
22 3.86 19.89 D 202 0
23 1.06 5.54 D 159 0
24 12.5 5.51 D 133 0
25 18.47 12.72 D 47 0
26 3.08 17.56 D 128 0
27 17.53 19.53 D 176 0
28 11.81 16.74 DL 0 5
29 7.48 12.53 D 44 0
30 10.99 9.99 D 179 0
31 10.75 18.26 D 5 0
32 15.6 17.68 D 23 0
33 15.89 12.8 P 0 6
34 9.72 13.69 D 65 0
35 19.64 5.77 D 80 0
36 14.98 6.96 D 32 0
37 19.8 19.26 DL 0 6
38 8.16 9.95 D 37 0
39 0.66 7.21 D 32 0
40 16.04 17.19 D 164 0
41 18.9 16.25 D 174 0
42 11.45 15.28 D 185 0
43 9.32 15.01 D 24 0
44 6.83 4.85 P 0 8
45 7.01 15.86 D 66 0
46 8.61 14.36 D 136 0
47 5.51 0.13 D 104 0
48 19.3 5.77 DL 0 3
49 18.69 16.1 P 0 2
50 12.83 13.16 D 13 0
51 8.47 7.48 D 2 0
52 2.82 16.44 D 150 0
53 0.08 9.42 P 0 1
54 13.89 14.7 D 21 0
55 11.81 19.07 D 36 0
56 11.49 6.15 D 188 0
57 17.24 7.82 D 158 0
58 7.02 5.08 D 75 0
59 14.64 13.98 D 138 0
60 12.08 10.07 D 44 0
61 0.1 15.98 D 99 0
62 7.9 2.37 D 44 0
63 9.25 18.74 D 74 0
64 4.56 18.35 D 150 0
65 5.35 8.73 D 132 0
66 7.96 5.93 D 171 0
67 11.18 7.09 D 195 0
68 12.16 1.24 D 4 0
69 6.33 14.04 DL 0 7
70 9.7 8.67 P 0 3
71 2.27 12.99 D 103 0
72 2.97 15.46 D 152 0
73 3.22 8.15 D 122 0
74 6.31 19.95 D 160 0
75 2.56 5.5 D 175 0
