# id X Y type ready_time pair_id
1 3.56 4.13 D 508 0
2 11.58 9.73 D 474 0
3 18.91 14.3 D 249 0
4 17.6 18.31 D 502 0
5 6.64 9.39 D 106 0
6 4.87 0.95 DL 0 3
7 10.21 11.58 D 790 0
8 10.47 18.51 D 652 0
9 14.54 14.22 D 273 0
10 12.72 19.5 D 187 0
11 10.9 1.78 D 516 0
12 12.34 8.35 DL 0 7
13 6.36 4.44 D 228 0
14 0.05 1.02 P 0 8
15 4.89 10.3 D 421 0
16 15.51 15.36 D 384 0
17 6.71 17.13 D 879 0
18 12.5 5.52 D 850 0
19 17.95 15.6 P 0 6
20 10.93 12.58 D 115 0
21 13.61 16.45 P 0 4
22 17.4 6.66 DL 0 2
23 13.36 4.88 D 703 0
24 13.17 19.87 D 284 0
25 11.99 7.65 D 126 0
26 0.67 13.92 D 112 0
27 14.1 10.29 D 907 0
28 7.95 11.34 D 835 0
29 16.06 5.19 D 221 0
30 14.27 5.22 D 190 0
31 17.46 4.51 D 895 0
32 19.3 8.72 P 0 2
33 8.79 16.66 D 423 0
34 13.52 12.46 D 199 0
35 12.66 19.43 D 856 0
36 18.13 6.03 P 0 7
37 11.6 8.57 P 0 3
38 8.72 7.68 D 492 0
39 17.22 16.91 D 626 0
40 19.34 15.42 D 172 0
41 2.61 5.41 D 308 0
42 0.64 2.4 D 544 0
43 12.81 5.35 D 94 0
44 19.28 9.32 D 806 0
45 6.49 18.47 D 111 0
46 14.28 17.68 DL 0 5
47 6.22 0.88 D 35 0
48 10.63 19.04 D 149 0
49 4.25 5.41 D 855 0
50 10.29 7.42 D 354 0
51 6.23 17.12 D 707 0
52 16.53 14.79 DL 0 1
53 16.09 7.3 D 825 0
54 18.63 2.69 D 705 0
55 12.01 12.12 D 279 0
56 11.07 17.3 D 713 0
57 15.55 14.1 D 170 0
58 3.77 9.39 D 13 0
59 13.83 6.64 DL 0 4
60 17.91 16.06 D 756 0
61 18.18 15.22 D 155 0
62 16.04 17.02 DL 0 8
63 11.68 12.17 D 225 0
64 4.13 14.22 P 0 1
65 12.81 16.21 D 676 0
66 8.5 1.12 P 0 5
67 2.6 12.98 DL 0 6
68 11.23 5.36 D 836 0
69 8.86 8.13 D 406 0
70 3.71 6.79 D 586 0
71 12.41 10.62 D 901 0
72 10.14 12.07 D 815 0
73 17.64 0.79 D 88 0
74 0.04 6.13 D 593 0
75 12.45 4.95 D 795 0
