[GA] start pop=400 gen=300 mut=0.15 customers=10 trucks=2 drones=2
[GA] gen=-1 feasible=400/400 bestFitness=182 bestCmax=182 bestPenalty=0 avgFitness=229.542
[GA] gen=0 feasible=332/400 bestFitness=182 bestCmax=182 bestPenalty=0 avgFitness=11088.4 children=399 twoPoint=197 mutCustomer=65 mutDrone=100 globalBestCmax=182 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=1 feasible=297/400 bestFitness=181 bestCmax=181 bestPenalty=0 avgFitness=13158.9 children=399 twoPoint=201 mutCustomer=64 mutDrone=102 globalBestCmax=181 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=2 feasible=273/400 bestFitness=181 bestCmax=181 bestPenalty=0 avgFitness=13456.7 children=399 twoPoint=212 mutCustomer=49 mutDrone=100 globalBestCmax=181 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=3 feasible=272/400 bestFitness=181 bestCmax=181 bestPenalty=0 avgFitness=15328.3 children=399 twoPoint=191 mutCustomer=64 mutDrone=99 globalBestCmax=181 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=4 feasible=259/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=14452.7 children=399 twoPoint=191 mutCustomer=52 mutDrone=101 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=5 feasible=247/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=15749.8 children=399 twoPoint=194 mutCustomer=44 mutDrone=103 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=6 feasible=203/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=21496.2 children=399 twoPoint=181 mutCustomer=64 mutDrone=98 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=7 feasible=192/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=25218.8 children=399 twoPoint=187 mutCustomer=68 mutDrone=91 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=8 feasible=181/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=24642.1 children=399 twoPoint=194 mutCustomer=65 mutDrone=105 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=9 feasible=212/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=22240.8 children=399 twoPoint=195 mutCustomer=49 mutDrone=87 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=10 feasible=182/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=24964.8 children=399 twoPoint=196 mutCustomer=61 mutDrone=108 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
