[GA] start pop=50 gen=300 mut=0.2 customers=10 trucks=2 drones=2
[GA] gen=-1 feasible=50/50 bestFitness=193 bestCmax=193 bestPenalty=0 avgFitness=226.46
[GA] gen=0 feasible=39/50 bestFitness=188 bestCmax=188 bestPenalty=0 avgFitness=16607.8 children=49 twoPoint=25 mutCustomer=12 mutDrone=13 globalBestCmax=188 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=1 feasible=38/50 bestFitness=187 bestCmax=187 bestPenalty=0 avgFitness=8608.48 children=49 twoPoint=25 mutCustomer=11 mutDrone=18 globalBestCmax=187 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=2 feasible=36/50 bestFitness=178 bestCmax=178 bestPenalty=0 avgFitness=12003.6 children=49 twoPoint=24 mutCustomer=9 mutDrone=17 globalBestCmax=178 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=3 feasible=41/50 bestFitness=178 bestCmax=178 bestPenalty=0 avgFitness=14395.1 children=49 twoPoint=20 mutCustomer=9 mutDrone=15 globalBestCmax=178 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=4 feasible=42/50 bestFitness=172 bestCmax=172 bestPenalty=0 avgFitness=11987.4 children=49 twoPoint=28 mutCustomer=8 mutDrone=10 globalBestCmax=172 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=5 feasible=35/50 bestFitness=172 bestCmax=172 bestPenalty=0 avgFitness=20374.8 children=49 twoPoint=25 mutCustomer=14 mutDrone=8 globalBestCmax=172 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=6 feasible=45/50 bestFitness=172 bestCmax=172 bestPenalty=0 avgFitness=2778.5 children=49 twoPoint=24 mutCustomer=4 mutDrone=9 globalBestCmax=172 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=7 feasible=45/50 bestFitness=172 bestCmax=172 bestPenalty=0 avgFitness=4576.68 children=49 twoPoint=21 mutCustomer=8 mutDrone=11 globalBestCmax=172 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=8 feasible=41/50 bestFitness=172 bestCmax=172 bestPenalty=0 avgFitness=12574.9 children=49 twoPoint=22 mutCustomer=13 mutDrone=14 globalBestCmax=172 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=9 feasible=42/50 bestFitness=172 bestCmax=172 bestPenalty=0 avgFitness=11973.2 children=49 twoPoint=31 mutCustomer=10 mutDrone=10 globalBestCmax=172 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=10 feasible=42/50 bestFitness=172 bestCmax=172 bestPenalty=0 avgFitness=12571.9 children=49 twoPoint=30 mutCustomer=7 mutDrone=9 globalBestCmax=172 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=11 feasible=39/50 bestFitness=172 bestCmax=172 bestPenalty=0 avgFitness=15771.6 children=49 twoPoint=26 mutCustomer=11 mutDrone=14 globalBestCmax=172 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=12 feasible=41/50 bestFitness=172 bestCmax=172 bestPenalty=0 avgFitness=12571 children=49 twoPoint=21 mutCustomer=8 mutDrone=15 globalBestCmax=172 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=13 feasible=45/50 bestFitness=172 bestCmax=172 bestPenalty=0 avgFitness=10173.6 children=49 twoPoint=27 mutCustomer=7 mutDrone=9 globalBestCmax=172 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=14 feasible=42/50 bestFitness=171 bestCmax=171 bestPenalty=0 avgFitness=14772.6 children=49 twoPoint=27 mutCustomer=14 mutDrone=14 globalBestCmax=171 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=15 feasible=40/50 bestFitness=171 bestCmax=171 bestPenalty=0 avgFitness=13174.6 children=49 twoPoint=21 mutCustomer=14 mutDrone=13 globalBestCmax=171 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=16 feasible=43/50 bestFitness=171 bestCmax=171 bestPenalty=0 avgFitness=9972.78 children=49 twoPoint=25 mutCustomer=12 mutDrone=16 globalBestCmax=171 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=17 feasible=45/50 bestFitness=171 bestCmax=171 bestPenalty=0 avgFitness=8772.74 children=49 twoPoint=27 mutCustomer=7 mutDrone=12 globalBestCmax=171 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=18 feasible=44/50 bestFitness=171 bestCmax=171 bestPenalty=0 avgFitness=6573.24 children=49 twoPoint=29 mutCustomer=10 mutDrone=14 globalBestCmax=171 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=19 feasible=43/50 bestFitness=171 bestCmax=171 bestPenalty=0 avgFitness=7176.56 children=49 twoPoint=22 mutCustomer=12 mutDrone=19 globalBestCmax=171 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=20 feasible=42/50 bestFitness=171 bestCmax=171 bestPenalty=0 avgFitness=10576 children=49 twoPoint=27 mutCustomer=9 mutDrone=15 globalBestCmax=171 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=21 feasible=41/50 bestFitness=171 bestCmax=171 bestPenalty=0 avgFitness=11170.7 children=49 twoPoint=21 mutCustomer=10 mutDrone=10 globalBestCmax=171 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=22 feasible=47/50 bestFitness=171 bestCmax=171 bestPenalty=0 avgFitness=6173.72 children=49 twoPoint=28 mutCustomer=9 mutDrone=11 globalBestCmax=171 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=23 feasible=43/50 bestFitness=171 bestCmax=171 bestPenalty=0 avgFitness=9974.26 children=49 twoPoint=27 mutCustomer=12 mutDrone=16 globalBestCmax=171 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=24 feasible=44/50 bestFitness=171 bestCmax=171 bestPenalty=0 avgFitness=9374.14 children=49 twoPoint=24 mutCustomer=11 mutDrone=17 globalBestCmax=171 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=25 feasible=47/50 bestFitness=171 bestCmax=171 bestPenalty=0 avgFitness=4774.96 children=49 twoPoint=22 mutCustomer=8 mutDrone=12 globalBestCmax=171 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=26 feasible=43/50 bestFitness=171 bestCmax=171 bestPenalty=0 avgFitness=11371.8 children=49 twoPoint=20 mutCustomer=10 mutDrone=12 globalBestCmax=171 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=27 feasible=39/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=8172.62 children=49 twoPoint=33 mutCustomer=7 mutDrone=16 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=28 feasible=34/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=19375.2 children=49 twoPoint=25 mutCustomer=13 mutDrone=18 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=29 feasible=40/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=13376.5 children=49 twoPoint=19 mutCustomer=9 mutDrone=15 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=30 feasible=36/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=21171.1 children=49 twoPoint=23 mutCustomer=10 mutDrone=10 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=31 feasible=32/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=26171.4 children=49 twoPoint=27 mutCustomer=12 mutDrone=15 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=32 feasible=39/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=12776.8 children=49 twoPoint=30 mutCustomer=9 mutDrone=18 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=33 feasible=28/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=21575.8 children=49 twoPoint=27 mutCustomer=8 mutDrone=15 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=34 feasible=36/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=16775.5 children=49 twoPoint=31 mutCustomer=12 mutDrone=12 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=35 feasible=42/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=10174.5 children=49 twoPoint=27 mutCustomer=9 mutDrone=11 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=36 feasible=33/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=19571.1 children=49 twoPoint=23 mutCustomer=4 mutDrone=9 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=37 feasible=36/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=20774.6 children=49 twoPoint=25 mutCustomer=10 mutDrone=17 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=38 feasible=36/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=19972 children=49 twoPoint=23 mutCustomer=5 mutDrone=10 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=39 feasible=35/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=19173.9 children=49 twoPoint=22 mutCustomer=6 mutDrone=16 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=40 feasible=35/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=19373.2 children=49 twoPoint=26 mutCustomer=8 mutDrone=14 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=41 feasible=35/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=20573 children=49 twoPoint=23 mutCustomer=11 mutDrone=12 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=42 feasible=43/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=10176.8 children=49 twoPoint=27 mutCustomer=7 mutDrone=15 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=43 feasible=33/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=20174.6 children=49 twoPoint=26 mutCustomer=11 mutDrone=13 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=44 feasible=40/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=14972.6 children=49 twoPoint=23 mutCustomer=9 mutDrone=15 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=45 feasible=38/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=20370.6 children=49 twoPoint=23 mutCustomer=12 mutDrone=13 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=46 feasible=35/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=20970.5 children=49 twoPoint=22 mutCustomer=7 mutDrone=10 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=47 feasible=27/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=24372.2 children=49 twoPoint=28 mutCustomer=7 mutDrone=13 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=48 feasible=39/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=15372 children=49 twoPoint=20 mutCustomer=11 mutDrone=13 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=49 feasible=38/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=13774.4 children=49 twoPoint=24 mutCustomer=6 mutDrone=16 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=50 feasible=34/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=20572.3 children=49 twoPoint=27 mutCustomer=6 mutDrone=9 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=51 feasible=41/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=13373.9 children=49 twoPoint=29 mutCustomer=9 mutDrone=12 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=52 feasible=40/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=13375.9 children=49 twoPoint=31 mutCustomer=11 mutDrone=14 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=53 feasible=37/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=15775.3 children=49 twoPoint=21 mutCustomer=9 mutDrone=13 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=54 feasible=38/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=17572.9 children=49 twoPoint=26 mutCustomer=6 mutDrone=11 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=55 feasible=39/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=16773.1 children=49 twoPoint=28 mutCustomer=13 mutDrone=11 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=56 feasible=31/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=22371.9 children=49 twoPoint=26 mutCustomer=9 mutDrone=10 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=57 feasible=33/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=23371.9 children=49 twoPoint=22 mutCustomer=9 mutDrone=12 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=58 feasible=31/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=23572.7 children=49 twoPoint=27 mutCustomer=10 mutDrone=17 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=59 feasible=31/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=25174.5 children=49 twoPoint=30 mutCustomer=13 mutDrone=13 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=60 feasible=35/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=20571.9 children=49 twoPoint=32 mutCustomer=13 mutDrone=11 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=61 feasible=39/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=14374.9 children=49 twoPoint=25 mutCustomer=10 mutDrone=18 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=62 feasible=33/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=21772.6 children=49 twoPoint=15 mutCustomer=8 mutDrone=13 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=63 feasible=34/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=23372.4 children=49 twoPoint=26 mutCustomer=10 mutDrone=10 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=64 feasible=41/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=10574.2 children=49 twoPoint=24 mutCustomer=7 mutDrone=13 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=65 feasible=37/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=18574.8 children=49 twoPoint=20 mutCustomer=15 mutDrone=19 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=66 feasible=36/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=12974.9 children=49 twoPoint=23 mutCustomer=7 mutDrone=14 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=67 feasible=39/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=12974.8 children=49 twoPoint=26 mutCustomer=10 mutDrone=20 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=68 feasible=37/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=16575.2 children=49 twoPoint=28 mutCustomer=8 mutDrone=10 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=69 feasible=32/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=21374.3 children=49 twoPoint=29 mutCustomer=12 mutDrone=10 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=70 feasible=37/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=18973.4 children=49 twoPoint=25 mutCustomer=13 mutDrone=11 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=71 feasible=35/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=16374.7 children=49 twoPoint=22 mutCustomer=12 mutDrone=19 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=72 feasible=34/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=14974.1 children=49 twoPoint=18 mutCustomer=7 mutDrone=12 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=73 feasible=38/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=14576.6 children=49 twoPoint=24 mutCustomer=12 mutDrone=12 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=74 feasible=41/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=11773.2 children=49 twoPoint=30 mutCustomer=6 mutDrone=12 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=75 feasible=34/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=17776.9 children=49 twoPoint=25 mutCustomer=8 mutDrone=19 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=76 feasible=28/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=23171.6 children=49 twoPoint=29 mutCustomer=8 mutDrone=10 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=77 feasible=37/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=20174.5 children=49 twoPoint=25 mutCustomer=13 mutDrone=15 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=78 feasible=39/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=16572.5 children=49 twoPoint=22 mutCustomer=6 mutDrone=15 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=79 feasible=41/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=12173.6 children=49 twoPoint=24 mutCustomer=6 mutDrone=12 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=80 feasible=37/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=14977.8 children=49 twoPoint=26 mutCustomer=12 mutDrone=16 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=81 feasible=30/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=22375 children=49 twoPoint=25 mutCustomer=10 mutDrone=13 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=82 feasible=31/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=22375 children=49 twoPoint=20 mutCustomer=10 mutDrone=15 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=83 feasible=39/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=13972.5 children=49 twoPoint=21 mutCustomer=8 mutDrone=10 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=84 feasible=40/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=14174.6 children=49 twoPoint=23 mutCustomer=12 mutDrone=16 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=85 feasible=41/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=12172.9 children=49 twoPoint=29 mutCustomer=8 mutDrone=13 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=86 feasible=30/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=29170.7 children=49 twoPoint=25 mutCustomer=9 mutDrone=9 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
